id,dose_mpk,dose_nmol,t,tu,y,yu,type,dosetype
3,3,1400,-0.764705882352935,day,150.834461687141,nM,Dtot,3Dtot
3,3,1400,-0.917647058823526,day,333.340692093302,nM,Dtot,3Dtot
3,3,1400,0,day,260.462662470308,nM,Dtot,3Dtot
3,3,1400,2.14117647058823,day,226.214784793022,nM,Dtot,3Dtot
3,3,1400,3.21176470588236,day,199.962960181308,nM,Dtot,3Dtot
3,3,1400,7.03529411764707,day,164.72741519904,nM,Dtot,3Dtot
3,3,1400,14.0705882352941,day,115.798960089925,nM,Dtot,3Dtot
3,3,1400,20.9529411764706,day,93.7276923789012,nM,Dtot,3Dtot
3,3,1400,21.4117647058824,day,441.913544121763,nM,Dtot,3Dtot
3,3,1400,28.4470588235294,day,238.49548926533,nM,Dtot,3Dtot
3,3,1400,35.1764705882353,day,173.670105246455,nM,Dtot,3Dtot
3,3,1400,42.2117647058824,day,159.022933762095,nM,Dtot,3Dtot
3,3,1400,42.364705882353,day,411.836721040935,nM,Dtot,3Dtot
3,3,1400,49.4,day,251.44288624615,nM,Dtot,3Dtot
3,3,1400,56.4352941176471,day,210.818510677892,nM,Dtot,3Dtot
3,3,1400,63.3176470588236,day,159.022933762095,nM,Dtot,3Dtot
3,3,1400,63.4705882352941,day,508.817221601843,nM,Dtot,3Dtot
3,3,1400,70.0470588235294,day,305.227055190294,nM,Dtot,3Dtot
3,3,1400,77.2352941176471,day,218.381006553649,nM,Dtot,3Dtot
3,3,1400,91,day,133.330389894326,nM,Dtot,3Dtot
3,3,1400,-0.0765423541368939,day,0.00404518140896632,nM,Ttot,3Ttot
3,3,1400,7.03764422758655,day,0.0233195293718829,nM,Ttot,3Ttot
3,3,1400,14.2719597817749,day,0.0330000624007823,nM,Ttot,3Ttot
3,3,1400,21.2203045962017,day,0.0397446169289635,nM,Ttot,3Ttot
3,3,1400,21.3577973434476,day,0.0301504240446159,nM,Ttot,3Ttot
3,3,1400,26.181737467825,day,0.0407214775682744,nM,Ttot,3Ttot
3,3,1400,28.307559608877,day,0.0398159547991875,nM,Ttot,3Ttot
3,3,1400,35.3955233470535,day,0.0417672644280856,nM,Ttot,3Ttot
3,3,1400,42.0596692354721,day,0.0480361680555979,nM,Ttot,3Ttot
3,3,1400,42.7613074817269,day,0.0303141544252534,nM,Ttot,3Ttot
3,3,1400,49.2851257208946,day,0.0382263086196716,nM,Ttot,3Ttot
3,3,1400,56.2313443588176,day,0.0400982743081244,nM,Ttot,3Ttot
3,3,1400,63.4628250110008,day,0.0471976473158161,nM,Ttot,3Ttot
3,3,1400,63.1747280947356,day,0.0349855488669205,nM,Ttot,3Ttot
3,3,1400,69.9816821716596,day,0.0431158258029352,nM,Ttot,3Ttot
3,3,1400,77.2089104708352,day,0.038497356563452,nM,Ttot,3Ttot
3,3,1400,91.243801572436,day,0.0443581275369726,nM,Ttot,3Ttot
6,6,2800,-0.611764705882351,day,565.561932162715,nM,Dtot,6Dtot
6,6,2800,0.152941176470591,day,482.617003106468,nM,Dtot,6Dtot
6,6,2800,2.14117647058823,day,411.836721040935,nM,Dtot,6Dtot
6,6,2800,3.21176470588236,day,333.340692093302,nM,Dtot,6Dtot
6,6,2800,7.03529411764707,day,294.657095913736,nM,Dtot,6Dtot
6,6,2800,14.5294117647059,day,203.517902705179,nM,Dtot,6Dtot
6,6,2800,21.1058823529412,day,173.670105246455,nM,Dtot,6Dtot
6,6,2800,21.4117647058824,day,686.53683410541,nM,Dtot,6Dtot
6,6,2800,28.2941176470588,day,390.630261004614,nM,Dtot,6Dtot
6,6,2800,35.0235294117647,day,269.805996717318,nM,Dtot,6Dtot
6,6,2800,42.0588235294118,day,226.214784793022,nM,Dtot,6Dtot
6,6,2800,42.0588235294118,day,910.149683869793,nM,Dtot,6Dtot
6,6,2800,49.2470588235294,day,441.913544121763,nM,Dtot,6Dtot
6,6,2800,56.1294117647059,day,383.806939284521,nM,Dtot,6Dtot
6,6,2800,63.0117647058824,day,327.51807410487,nM,Dtot,6Dtot
6,6,2800,63.4705882352941,day,993.981104789376,nM,Dtot,6Dtot
6,6,2800,70.2,day,508.817221601843,nM,Dtot,6Dtot
6,6,2800,77.2352941176471,day,457.765896669534,nM,Dtot,6Dtot
6,6,2800,-0.215452552385329,day,0.00486320680150517,nM,Ttot,6Ttot
6,6,2800,2.06274557143914,day,0.00948796533308281,nM,Ttot,6Ttot
6,6,2800,3.07267941074537,day,0.0300112490551105,nM,Ttot,6Ttot
6,6,2800,7.32644986935308,day,0.0329421179798093,nM,Ttot,6Ttot
6,6,2800,14.0015810030413,day,0.077354404858645,nM,Ttot,6Ttot
6,6,2800,20.6639550777067,day,0.0792897736682055,nM,Ttot,6Ttot
6,6,2800,20.9431929252061,day,0.0601516941572059,nM,Ttot,6Ttot
6,6,2800,25.9145479538472,day,0.117434084488911,nM,Ttot,6Ttot
6,6,2800,27.898270631895,day,0.112204986518706,nM,Ttot,6Ttot
6,6,2800,35.4079260433257,day,0.0935055512206017,nM,Ttot,6Ttot
6,6,2800,42.0706544807418,day,0.0980775396526863,nM,Ttot,6Ttot
6,6,2800,49.0204167461711,day,0.129518937440093,nM,Ttot,6Ttot
6,6,2800,55.9666353840942,day,0.135861558939464,nM,Ttot,6Ttot
6,6,2800,63.3331282442689,day,0.103253812966619,nM,Ttot,6Ttot
6,6,2800,70.131223252427,day,0.071557167576179,nM,Ttot,6Ttot
6,6,2800,77.2266286083669,day,0.121739876424474,nM,Ttot,6Ttot
