variable,value,type,units
F,1,num,-
ka,10,num,1/day
Vc,4.52,num,L
k12,0.855,num,1/day
k21,0.681,num,1/day
keD,0.0914,num,1/day
ksyn,5.35,num,nM/day
keT,2.37E+04,num,1/day
keDT,2.37E+04,num,1/day
Keq,1.51,num,nM
CL,3.8646,num,L/day
Q,3.07812,num,L/day
Vp,4.52,num,L
